IO_Size,Q_Depth,Workload_Mix,Workload_Type,Core_Mask,Run_Time,Run,IOPS,MBps,Avg_lat(us),Min_lat(us),Max_lat(us)
4096,1,100,randrw,0x1,60,1,34435.0,134.51,88.8,31.32,3437.07
4096,1,100,randrw,0x1,60,2,34465.0,134.63,88.86,31.51,244956.73
4096,1,100,randrw,0x1,60,3,34358.29,134.21,89.24,31.47,246781.38
4096,1,100,randrw,0x3,60,1,34813.63,135.99,87.82,31.44,233569.75
4096,1,100,randrw,0x3,60,2,34469.0,134.64,89.18,31.51,242769.62
4096,1,100,randrw,0x3,60,3,34856.15,136.16,87.73,31.48,146203.27
4096,1,70,randrw,0x1,60,1,40052.02,156.45,77.92,12.6,94363.57
4096,1,70,randrw,0x1,60,2,40779.92,159.3,75.76,12.72,150010.83
4096,1,70,randrw,0x1,60,3,40045.87,156.43,78.05,12.52,3944.69
4096,1,70,randrw,0x3,60,1,40804.2,159.39,75.75,12.91,5661.2
4096,1,70,randrw,0x3,60,2,40095.84,156.62,77.76,12.85,5763.79
4096,1,70,randrw,0x3,60,3,40833.5,159.51,75.66,12.76,6239.32
4096,1,0,randrw,0x1,60,1,274184.91,1071.03,16.34,12.65,6233.13
4096,1,0,randrw,0x1,60,2,274505.47,1072.29,16.14,12.67,6514.12
4096,1,0,randrw,0x1,60,3,274221.19,1071.18,16.29,12.67,6142.99
4096,1,0,randrw,0x3,60,1,269984.81,1054.63,16.44,12.66,8204.55
4096,1,0,randrw,0x3,60,2,269831.44,1054.03,16.5,12.7,6100.05
4096,1,0,randrw,0x3,60,3,269698.09,1053.51,16.48,12.66,8167.67
4096,8,100,randrw,0x1,60,1,231472.45,904.19,104.85,28.18,3015.99
4096,8,100,randrw,0x1,60,2,229848.45,897.85,105.84,29.65,3604.49
4096,8,100,randrw,0x1,60,3,231078.66,902.65,105.1,29.69,4277.06
4096,8,100,randrw,0x3,60,1,233829.06,913.39,104.05,37.34,3143.17
4096,8,100,randrw,0x3,60,2,236771.02,924.89,102.58,28.03,5658.6
4096,8,100,randrw,0x3,60,3,233417.02,911.79,104.68,38.22,3656.53
4096,8,70,randrw,0x1,60,1,212505.91,830.1,117.87,12.43,7160.35
4096,8,70,randrw,0x1,60,2,211080.56,824.53,120.03,12.45,7023.43
4096,8,70,randrw,0x1,60,3,213479.03,833.9,117.42,12.47,7157.57
4096,8,70,randrw,0x3,60,1,208891.28,815.98,120.53,12.53,6924.77
4096,8,70,randrw,0x3,60,2,210141.88,820.87,118.98,12.38,6987.29
4096,8,70,randrw,0x3,60,3,208239.33,813.43,121.07,12.6,9390.39
4096,8,0,randrw,0x1,60,1,838233.0,3274.35,42.69,12.75,7859.85
4096,8,0,randrw,0x1,60,2,738739.88,2885.7,50.75,12.7,8075.43
4096,8,0,randrw,0x1,60,3,510887.03,1995.65,61.61,12.64,880726.31
4096,8,0,randrw,0x3,60,1,729822.0,2850.87,59.73,12.77,8616.86
4096,8,0,randrw,0x3,60,2,758800.06,2964.06,66.46,12.77,8419.09
4096,8,0,randrw,0x3,60,3,709758.31,2772.49,74.16,12.73,8495.45
4096,32,100,randrw,0x1,60,1,637096.75,2488.66,161.03,28.58,6210.58
4096,32,100,randrw,0x1,60,2,639975.06,2499.9,159.97,28.73,3879.03
4096,32,100,randrw,0x1,60,3,635802.88,2483.6,161.1,29.54,3896.57
4096,32,100,randrw,0x3,60,1,587623.69,2295.41,170.0,37.51,4113.46
4096,32,100,randrw,0x3,60,2,585882.88,2288.6,170.87,36.51,3720.12
4096,32,100,randrw,0x3,60,3,585838.0,2288.43,170.48,36.85,6331.22
4096,32,70,randrw,0x1,60,1,478250.69,1868.17,230.45,12.38,8317.92
4096,32,70,randrw,0x1,60,2,454611.5,1775.83,265.51,12.35,8565.31
4096,32,70,randrw,0x1,60,3,453690.31,1772.23,264.41,12.31,7935.18
4096,32,70,randrw,0x3,60,1,441199.5,1723.44,264.49,12.47,10283.07
4096,32,70,randrw,0x3,60,2,435019.06,1699.29,272.13,12.6,9931.47
4096,32,70,randrw,0x3,60,3,427259.56,1668.98,269.97,12.35,812092.75
4096,32,0,randrw,0x1,60,1,590811.0,2307.86,445.1,12.87,203312.67
4096,32,0,randrw,0x1,60,2,483619.19,1889.14,411.62,12.89,13834.2
4096,32,0,randrw,0x1,60,3,569683.88,2225.33,379.41,13.01,10479.44
4096,32,0,randrw,0x3,60,1,697364.25,2724.08,408.16,12.84,11475.49
4096,32,0,randrw,0x3,60,2,753418.62,2943.04,364.34,12.97,9270.22
4096,32,0,randrw,0x3,60,3,717329.06,2802.07,347.98,12.94,9680.46
4096,128,100,randrw,0x1,60,1,1107399.12,4325.78,412.58,36.01,4690.25
4096,128,100,randrw,0x1,60,2,1117106.25,4363.7,411.58,50.19,6586.63
4096,128,100,randrw,0x1,60,3,1113876.62,4351.08,413.24,42.13,4474.19
4096,128,100,randrw,0x3,60,1,1049707.75,4100.42,428.91,41.45,6788.98
4096,128,100,randrw,0x3,60,2,1075806.0,4202.37,422.87,41.68,4199.55
4096,128,100,randrw,0x3,60,3,1077162.0,4207.66,421.89,41.31,5108.33
4096,128,70,randrw,0x1,60,1,730875.94,2854.98,776.27,12.5,12041.97
4096,128,70,randrw,0x1,60,2,684462.25,2673.68,937.88,12.67,13565.4
4096,128,70,randrw,0x1,60,3,644818.5,2518.82,899.52,12.45,687992.88
4096,128,70,randrw,0x3,60,1,683517.31,2669.99,851.97,12.54,14015.92
4096,128,70,randrw,0x3,60,2,694069.5,2711.21,865.57,12.65,12580.55
4096,128,70,randrw,0x3,60,3,715400.75,2794.53,741.35,12.65,11277.83
4096,128,0,randrw,0x1,60,1,479209.97,1871.91,1586.61,12.76,19482.51
4096,128,0,randrw,0x1,60,2,479894.44,1874.59,1737.76,12.84,16649.54
4096,128,0,randrw,0x1,60,3,501920.12,1960.63,1605.98,12.75,16854.52
4096,128,0,randrw,0x3,60,1,689004.12,2691.42,1556.14,12.87,18155.74
